"date","season","taiaroa_east","sst","sss","avg_sst_grad_km","avg_sss_grad_km","water_mass"
2015-03-10,"summer","TaiaroaEast0.5km",15.3200161363636,34.5836319318182,0.03,0,"NW"
2015-03-10,"summer","TaiaroaEast5.10km",15.087657,34.514733125,-0.08,-0.02,"NW"
2015-03-10,"summer","TaiaroaEast10.15km",15.008307375,34.448356125,0.02,-0.02,"NW"
2015-03-10,"summer","TaiaroaEast15.20km",14.934017,34.536387375,-0.08,0.07,"NW"
2015-03-10,"summer","TaiaroaEast20.25km",14.02429075,34.739332625,-0.13,0.02,"STW"
2015-03-10,"summer","TaiaroaEast25.30km",13.511483625,34.75703225,-0.12,0,"STW"
2015-03-10,"summer","TaiaroaEast30.35km",12.6687964315476,34.6028847380952,-0.2,-0.04,"STW"
2015-03-10,"summer","TaiaroaEast35.40km",12.3575130833333,34.4815569166667,-0.02,-0.02,"SASW"
2015-03-10,"summer","TaiaroaEast40.45km",12.3337945833333,34.46124925,-0.03,-0.01,"SASW"
2015-03-10,"summer","TaiaroaEast45.50km",12.1825256666667,34.3957748611111,-0.03,-0.01,"SASW"
2015-03-10,"summer","TaiaroaEast50.55km",12.5758791666667,34.3412456666667,0.08,0,"SASW"
2015-03-10,"summer","TaiaroaEast55.60km",12.49866825,34.34383475,-0.1,0.01,"SASW"
2015-04-21,"autumn","TaiaroaEast0.5km",12.6571802272727,34.3960495454545,-0.01,0,"NW"
2015-04-21,"autumn","TaiaroaEast5.10km",12.698499625,34.3740515,0.02,-0.01,"NW"
2015-04-21,"autumn","TaiaroaEast10.15km",12.824568125,34.4465905,0.01,0.05,"NW"
2015-04-21,"autumn","TaiaroaEast15.20km",12.644066125,34.652355875,-0.1,0.03,"STW"
2015-04-21,"autumn","TaiaroaEast20.25km",12.490491375,34.703119375,0.01,0,"STW"
2015-04-21,"autumn","TaiaroaEast25.30km",12.53502825,34.694888375,-0.02,0,"STW"
2015-04-21,"autumn","TaiaroaEast30.35km",11.974963375,34.677931125,-0.07,-0.01,"STW"
2015-04-21,"autumn","TaiaroaEast35.40km",11.752408375,34.648404375,-0.03,-0.01,"STW"
2015-04-21,"autumn","TaiaroaEast40.45km",10.854590375,34.361267375,-0.06,-0.01,"SASW"
